,precision,recall,f1-score,support
angry,0.4582933844678811,0.4989561586638831,0.4777611194402799,958.0
disgust,0.5,0.04504504504504504,0.08264462809917356,111.0
fear,0.4444444444444444,0.15234375,0.22690909090909092,1024.0
happy,0.7874933757286698,0.8376550169109357,0.8118000546298826,1774.0
neutral,0.44934383202099737,0.6942416869424168,0.5455704270235819,1233.0
sad,0.48148148148148145,0.39615076182838815,0.4346678398592169,1247.0
surprise,0.6600418410041841,0.7593261131167268,0.7062115277000559,831.0
accuracy,0.572025633881304,0.572025633881304,0.572025633881304,0.572025633881304
macro avg,0.5401569084496655,0.48338836178677086,0.4693663839516117,7178.0
weighted avg,0.5641700395845326,0.572025633881304,0.5490300674965706,7178.0
